game_name,game_description_snippet,game_price,found_game_price,all_language_reviews_type,all_language_reviews_count,has_russian_reviews,all_russian_reviews_type,all_russian_reviews_count,first_release_date,genres,total_rating,total_rating_count,popularity_igdb,reviews_score,russian_reviews_score,has_external_platform
Escape Lala 2 - Retro Point and Click Adventure,"Our beloved princess is missing… What happened? Discover the world of Escape Lala 2, solve mysteries, uncover secrets and bring back peace and order to the world.",,0.0,Очень положительные,140.0,0.0,Отзывы отсутствуют,0.0,2019-07-18,"Puzzle, Adventure",70.0,0.0,7.83934977e-07,8.0,0.0,True
Touhou Shoujo Tale of Beautiful Memories / 東方少女綺想譚,"Journey through a pixelated, isometric version of Gensoukyou in this quasi-3D action RPG! Dash and jump to avoid enemies, or shoot them down from far! Hit the right buttons at the right time to accumulate power and battle efficiently! Play as Reimu and friends and get to the bottom of the incident!",515.0,1.0,Очень положительные,189.0,0.0,Отзывы отсутствуют,0.0,2017-11-18,"Role-playing (RPG), Adventure",70.0,0.0,7.767460864e-06,8.0,0.0,False
Barrage Musical ~ Basic Danmaku Tutorial ~ / 弹幕音乐绘 ~ 基础教学篇 ~,A tutorial for shmup beginners. Presented by Lightsaber Fairy.,,0.0,Очень положительные,189.0,0.0,Отзывы отсутствуют,0.0,2019-12-14,"Shooter, Music",70.0,0.0,0.0,8.0,0.0,True
8-Bit Adventures 2,"Pilot your Airship, prepare your party, and explore a vast World Map in 8-Bit Adventures 2 – an exciting, emotional tribute to the Golden Age of JRPGs. Dynamic turn-based battles & pixels with personality!",435.0,1.0,Очень положительные,275.0,0.0,Отзывы отсутствуют,0.0,2023-01-31,"Role-playing (RPG), Adventure",90.0,1.0,3.6059806511e-05,8.0,0.0,True
The Horrorscope,"You will answer a series of questions that will reveal your potential fate. These questions may make you uncomfortable, but with great knowledge comes great sacrifice. Can you make it all the way through The Horrorscope, and if you do, are you sure you want the answers you seek?",82.0,1.0,Очень положительные,1082.0,0.0,Отзывы отсутствуют,0.0,2020-03-09,"Role-playing (RPG), Simulator, Adventure, Visual Novel",80.0,3.0,2.5866332243e-05,8.0,0.0,False
A Midsummer Night's Choice,"In this Shakespearean comedy adventure, can forbidden love conquer adorable fairy outlaws? Magic, bears, and cross-dressing disguises await in the forest!",,0.0,Положительные,28.0,0.0,Отзывы отсутствуют,0.0,2016-08-25,"Role-playing (RPG), Adventure",70.0,1.0,1.567869955e-06,6.0,0.0,True
Mutant Storm: Reloaded,"Mutant Storm progresses over 89 levels of twin-stick shooter mayhem! As you get deeper, you are ever more overcrowded with nasty beasties. This carnival of frenetic fun is showcased in a cutting edge graphics extravaganza.Viewed from well above, you and your enemies can always be seen. Always be killed, and always be laughed at!",99.0,1.0,Положительные,29.0,0.0,Отзывы отсутствуют,0.0,2005-11-22,Shooter,72.5,3.0,1.2317353264e-05,6.0,0.0,False
Sportsfriends,"Sportsfriends is a compendium of award-winning local multiplayer games. Featuring: retro-styled fighting in BaraBariBall, QWOP-like pole dueling in Super Pole Riders, high-velocity passing in Hokra, and, on Mac and Linux, face-to-face sparring in Johann Sebastian Joust.",0.0,1.0,Очень положительные,88.0,0.0,Отзывы отсутствуют,0.0,2014-05-06,"Fighting, Sport, Arcade",71.79031107763645,28.0,5.0503230964e-05,8.0,0.0,False
Mittelborg: City of Mages,"«Миттельборг: город магов» — это приключенческая стратегия про управления ресурсами и выживание в мире магии. Стань новым Канцлером и надеждой Миттельборга. Твоя сила в перерождении, ищи стратегию, собери знания и узнай какой финал тебя ждёт.",,0.0,Смешанные,76.0,0.0,Отзывы отсутствуют,0.0,2019-06-20,"Role-playing (RPG), Simulator, Strategy, Adventure",50.0,2.0,1.567869955e-06,5.0,0.0,True
WTF,"WTF is a chaotic first person shooter that confronts heavily armed players with ""The Devil"" himself.",,0.0,Смешанные,135.0,0.0,Отзывы отсутствуют,0.0,2019-08-11,UNDEFINED,50.0,0.0,0.0,5.0,0.0,False
Arms Dealer,"As a new Arms Dealer in the year 2025 you will bribe generals, build relationships, and trade over 250 real weapons. You'll be hunted by 4 law enforcement agencies as you compete with the top 10 Arms Dealers. You must find the best deals, rarest weapons and most useful vehicles to carry your goods.",,0.0,Смешанные,159.0,0.0,Отзывы отсутствуют,0.0,2015-02-04,"Simulator, Strategy",50.0,0.0,3.121362128e-06,5.0,0.0,False
Super Volley Blast,"Вы готовы оторваться по полной и стать лучшим волейбольным игроком в мире? Super Volley Blast — это сногсшибательная игра в пляжный волейбол, которая доставит массу удовольствия вам и вашим друзьям.",289.0,1.0,Очень положительные,110.0,0.0,Отзывы отсутствуют,0.0,2018-07-12,"Sport, Arcade",70.0,3.0,1.7992799018999998e-05,8.0,0.0,False
12 Labours of Hercules VIII: How I Met Megara,One day Hercules saw a girl who sobbed upon the shore. She told the young stranger that her sister and beloved cat had missed after the evil Cretans attacked Thebes. The only clue was a message on the wall… Hercules fell in love with that girl named Megara at the first sight...,82.0,1.0,Очень положительные,122.0,0.0,Отзывы отсутствуют,0.0,2018-12-26,"Puzzle, Strategy, Adventure, Arcade",70.0,1.0,1.753835058e-05,8.0,0.0,True
Alluris,"Prepare to embark on a journey like no other in Alluris. Play as a reluctant hero or villain to save the world… or just save a colony of bears from some lumberjacks. However you play, you’re sure to walk away with a few crazy stories about your adventure.",259.0,1.0,Очень положительные,140.0,0.0,Отзывы отсутствуют,0.0,2019-10-11,"Role-playing (RPG), Adventure, Card & Board Game",35.0,1.0,6.9979036680000005e-06,8.0,0.0,True
Score a goal (Physical football),"Это физическая игра, основной задачей которого является забить мяч в ворота. На вашей стороне и против вас, выступают исключительно законы физики. Все управление в игре осуществляется с помощью компьютерной мышки. В зависимости от уровня будут различные условия взаимодействия игрока с окружающим миром.",125.0,1.0,Смешанные,243.0,0.0,Отзывы отсутствуют,0.0,2016-12-28,"Simulator, Sport",50.0,0.0,7.83934977e-07,5.0,0.0,True
Wrongworld,"Потерпев крушение на сюрореалистичном низкополигональном мире, полном пугающих обитателей, и выбрав между режимами со смертью навсегда и не навсегда, отправляйтесь на поиски эпических (и нелепых) приключений. Останетесь ли вы в живых достаточно долго, чтобы раскрыть загадки Wrongworld и найти путь домой?",280.0,1.0,Очень положительные,474.0,0.0,Отзывы отсутствуют,0.0,2017-08-22,"Simulator, Adventure",70.0,0.0,3.890919322e-06,8.0,0.0,True
Pulse,"Journey as Eva, a young girl who lost her sight at an early age, and has since developed the unique capability to ""see"" the world around her through sound. Explore a world on the edge of collapse and discover the long-kept secrets of the land...",195.0,1.0,Смешанные,36.0,0.0,Отзывы отсутствуют,0.0,2015-10-20,Adventure,50.83333333333333,4.0,3.106984345e-06,5.0,0.0,False
The Long Return,"Красивое, полное загадок приключение осиротевшего детеныша, который пытается пошагово восстановить свое последнее путешествие с мамой. На своем пути вы столкнетесь с уникальными каверзными загадками, исследуете великолепные полные жизни пейзажи и заново проживете воспоминания о матери.",,0.0,Очень положительные,118.0,0.0,Отзывы отсутствуют,0.0,2019-10-02,"Puzzle, Adventure",70.0,2.0,1.4310916092e-05,8.0,0.0,False
Rain Blood Chronicles: Mirage,"Told as a “Wuxia” story, which literally means ""martial hero"", Mirage captures the essence of a broad genre of Chinese fiction concerning the adventures of martial artists. Shrouded in secrecy, an organization of assassins wreak havoc on the local populace.",42.0,1.0,В основном положительные,140.0,0.0,Отзывы отсутствуют,0.0,2013-10-01,"Platform, Adventure",60.0,3.0,8.895260161e-06,7.0,0.0,False
Critical Annihilation,Critical Annihilation is a Twin-Stick SHMUP (Shoot-em Up) made entirely out of tiny voxels. We take advantage of voxel technology to hype up the explosive gameplay. Everything is destructible to its core.,0.0,1.0,Очень положительные,235.0,0.0,Отзывы отсутствуют,0.0,2016-02-12,UNDEFINED,80.0,0.0,0.0,8.0,0.0,False
Brukel,"Игра-разведка от 1-го лица, основанная на реальных воспоминаниях 92-летней бабушки, которые она рассказывает игрокам своим собственным голосом. Сфотографируйте то, что осталось от ее заброшенного дома детства, чтобы раскрыть темные, травмирующие события, с которыми ей пришлось столкнуться в подростковом возрасте.",133.0,1.0,Очень положительные,213.0,0.0,Отзывы отсутствуют,0.0,2019-11-03,"Simulator, Adventure",70.0,1.0,9.664817356e-06,8.0,0.0,False
Rising Islands,"Rising Islands - игра-приключение, в которой нужно не только сражаться, но и быстро соображать. Прыгайте, уклоняйтесь, скользите, ускоряйтесь, бегайте по стенам в фантастическом мире, стоящем на краю гибели. Приключения ждут вас на каждом шагу.",249.0,1.0,Смешанные,47.0,0.0,Отзывы отсутствуют,0.0,2016-08-02,"Platform, Adventure",48.33333333333333,3.0,3.890919322e-06,5.0,0.0,False
Naxia,"Naxia is a brainchild of old school action-RPGs and modern rogue-lites, which means you get to explore a procedurally generated world and master your guardian’s fighting abilities to help them save Naxia from threats far beyond their wildest expectations.",435.0,1.0,Смешанные,96.0,0.0,Отзывы отсутствуют,0.0,2019-11-22,"Role-playing (RPG), Adventure",50.0,1.0,5.444411495e-06,5.0,0.0,False
Melting World Online,"Многопользовательская стратегия с пошаговыми тактическими сражениями. Возглавьте отряд боевых мехов, развивайте специализации пилотов, устанавливайте оборудование и оружие. Производство, исследование и торговля. Дуэли, PvP арены и кооператив до 4 игроков.",,0.0,Смешанные,78.0,0.0,Отзывы отсутствуют,0.0,2018-10-04,"Role-playing (RPG), Strategy, Adventure",50.0,1.0,3.121362128e-06,5.0,0.0,False
Factotum 90,You’re in deep space and something’s collided with the ship. Main power is offline and you’re trapped. It’s lucky you have access to this walker control terminal. It’s a little old but with these two robots and some clever thinking you might be able to get power back online and save the day.,102.0,1.0,Недостаточно информации,9.0,0.0,Отзывы отсутствуют,0.0,2016-02-10,"Puzzle, Adventure, Arcade",70.0,1.0,3.890919322e-06,0.0,0.0,True
Flynn and Freckles,"Flynn & Freckles is a third-person view, single player game with a great amount of exploration and thrilling platforming. As Flynn we’ll need to deal with a series of puzzles, fight against loads of enemies and basically jump our way out most dangers in order to escape a mysterious and cursed island.",259.0,1.0,В основном отрицательные,10.0,0.0,Отзывы отсутствуют,0.0,2018-03-21,"Platform, Adventure",30.0,1.0,1.553492173e-06,3.0,0.0,False
Wild Season,"Wild Season is a farming-life sim that takes its foundations from the greats within the farming simulation, visual novel, and RPG genres and delivers them with a twist. Rebuild your farm to its former glory and beyond, befriend the townspeople and maybe find your one true love (of either gender!), and solve the secret of Bedford Valley.",,0.0,В основном отрицательные,182.0,0.0,Отзывы отсутствуют,0.0,2015-12-07,"Role-playing (RPG), Simulator",40.0,0.0,5.458789277e-06,3.0,0.0,False
Daughter of Shadows: An SCP Breach Event,"The player assumes the role of a dangerous and powerful girl known as SCP-029. After a facility wide power outage occurs, numerous SCPs breach containment and proceed to wreak havoc throughout the facility. SCP-029 must use her mind-controlling powers to survive and find a way to escape from the facility.",42.0,1.0,Смешанные,90.0,0.0,Отзывы отсутствуют,0.0,2016-04-04,"Role-playing (RPG), Adventure",50.0,1.0,3.121362128e-06,5.0,0.0,False
Welcome to Bummertown,"Welcome to Bummertown a place where You'll have to collect items, talk to colorful characters and solve puzzles in order to find a lost character named Bedford.",,0.0,Очень положительные,84.0,0.0,Отзывы отсутствуют,0.0,2018-09-11,Adventure,70.0,1.0,3.890919322e-06,8.0,0.0,False
